index,input,acp
48,"If the requested appointment time does conflict with an existing appointments, the patient is presented with a list of the three next non-overlapping available appointment times within 7 days of the requested date.",1
49,The LHCP clicks this number to view the physiologic data monitoring details of his or her patients for the current date.,1
50,"If answer to security question is correct, allow user to change their password.",1
51,The iTrust user (HCP or patient) has authenticated himself or herself in the iTrust Medical Records system (UC3).,1
52,"The data in the database is analyzed according to the malaria epidemic heuristic to determine if an epidemic is occurring in the region defined by the zip code that match the first three numbers in the provided zip code (e.g. if zip code 27695 is provided, all data with zip code 276xx is analyzed, where each x is any digit from 0-9).",1
53,An LHCP or patient or representative may view a message .,1
54,A user (an LHCP or patient) chooses to display his or her appointments in the current month on a calendar for the current month.,1
55,"The status of a laboratory procedure has been updated (UC26, S3).",1
56,The administrator chooses a drug from each list to record an interaction between the two drugs.,1
57,"The hcp documents the office visit date; hospital location of the office visit, if any, (the default should be the HCP's home location); and notes about an office visit.",1
58,The iTrust user (patient or HCP) has been authenticated in the iTrust Medical Records system (UC3).,1
59,The administrator types an invalid hospital ID and is prompted to try again.,1
60,"Upon sending a referral, the patient, sending HCP, and receiving HCP receive a message summarizing the newly created referral information (sending HCP name & specialty, receiving HCP name & specialty, patient name, referral notes, and referral creation timestamp); additionally, the sending and receiving HCP messages include the referral priority.",1
61,A session that has been inactive for more than ten minutes is terminated .,1
62,A patient can select to report physiologic measurements for those whose at least one physiologic data type is specified to be under monitoring and for whom he or she is a patient representative.,1
63,"Additionally, the HCP can document none, one, or more medications (NDC, see Data Format 6.6) prescribed ; none, one, or more lab procedures that are ordered (LOINC code, see Data Format 6.11)(UC26); none, one, or more diagnoses (via the ICD-9CM code); none, one, or more medical procedures (CPT code) performed; and none, one, or more immunizations given (CPT Code, see UC15, S1) chosen from appropriate pull-down lists.",1
64,"Through the Personal Health Records page, an LHCP chooses a chronic disease and a patient.",1
65,"A user (a patient) chooses to display his or her appointments in the current month together with his or her office visit dates, prescription dates, and lab procedure dates of the current month on a calendar for the current month.",1
66,An administrator chooses to maintain the hospital listing .,1
67,An LHCP views the number of submitted physiologic data monitoring reports of his or her patients for the current date.,1
68,"He or she can report the height, weight, possibly and possibly pedometer reading  for the patient.",1
69,"A patient may have up to 10 physiologic data points in any one day, reported by him or herself, a UAP, or a personal representative .",1
70,"The HCP chooses a specific referral from the list to view complete details about the referral: patient name, receiving HCP name and specialty, time generated, priority, office visit date, and notes.",1
71,"A user (an LHCP or patient) wishes to view a list of his or her upcoming appointments (i.e., a list including appointments whose appointment date and start time is equal or later than the current date or time).",1
72,A user can sort messages in his or her message outbox by the recipient's last name or timestamp (but not both) in either ascending or descending order.,1
73,Only the applicable input entries (those whose corresponding data types of the patient are specified to be under monitoring) are displayed to the UAP.,1
74,The licensed health care professional making a diagnosis determines if a patient is granted the ability to restrict viewing of the diagnosis.,1
75,"The administrator will store (1) the CPT code (The CPT code set accurately describes medical, surgical, and diagnostic services and is designed to communicate uniform information about medical services and procedures among physicians, coders, patients, accreditation organizations, and payers for administrative, financial, and analytical purposes.",1
76,The user chooses to open his or her upcoming appointment list.,1
77,The LHCP types an invalid age range and is prompted to try again.,1
78,An HCP can view a previously created lab procedure for a given office visit.,1
79,"The system shall enable multiple simultaneous users, each with his or her own exclusive authentication.",1
80,An LHCP or UAP creates a list of patients (by MID) for which he or she will monitor remotely .,1
81,A patient is added to the list by the LHCP or UAP typing in the patient's MID  or name.,1
82,"At this point, the LHCP can view a prescription list for that patient , sorted by start date (the later date is ranked earlier).",1
83,"The HCP must provide instructions (can neither be empty nor the default form field value), or else they cannot add the prescription.",1
84,The iTrust user (LHCP or ER) has authenticated himself or herself in the iTrust Medical Records system (UC3).,1
85,"After the patient logs in, an activity feed is displayed .",1
86,The HCP can graph height or weight of the patient over the last 3 calendar years .,1
87,All email notifications should be executed through the fake email utility.,1
88,LOINC data from this file is added to a listing of allowable physical services (including laboratory procedures that an HCP can use).,1
89,The administrator will store (1) hospital Id number for the hospital ; and (2) up to 30 alphanumeric characters giving the name of the hospital.,1
90,"An administrator chooses to maintain the standards list for immunizations , diagnoses , allowable drugs , or allowable physical services .",1
91,The HCP can select a medication from a pull down list and add it to the list of medications the patient is allergic to.,1
92,The iTrust user has been authenticated in the iTrust Medical Records system (UC3).,1
93,"If the LHCP is not one of the patient's DLHCP or the UAP associated with one of their DLHCP, a message is sent to the patient and their personal representative .",1
94,An HCP can reassign a previously created lab procedure .,1
95,The patient can select to view contact information of a selected LHCP shown in the expired prescription list .,1
96,The HCP types an invalid medical identification number and is prompted to try again.,1
97,"The patient, UAP, or personal representative tries to enter more than ten physiologic data points for one day and is told additional data cannot be entered.",1
98,The LHCP is presented with a screen upon which he or she can choose a date range.,1
99,The administrator will store information of a LOINC code (Logical Observation Identifiers Names and Codes (LOINC) is a database and universal standard for identifying medical laboratory observations.,1
100,An HCP can reassign a previously created lab procedure to a different Lab Technician if the lab procedure is not yet in the testing state.,1
101,The user is prompted to try again.,1
102,The LHCP or ER does not confirm the selection and is prompted to try again.,1
103,"An admin creates a LHCP, an ER, a Laboratory Technician (LT), or a public health agent (PHA) .",1
104,The LHCP views his or her message inbox.,1
105,His or her appointments in the current month shall be displayed on the calendar .,1
106,The LHCP has authenticated himself or herself in the iTrust Medical Records system (UC3).,1
107,A Lab Technician can view his or her assigned lab procedures.,1
108,He or she can report the blood pressure (systolic and diastolic)  possibly and possibly glucose levels  for the patient.,1
109,A message of the removal is sent to the adverse event reporter and to the LHCP involved in the report (because the LHCP prescribed the drug or administered the immunization).,1
110,"An administrator enters a LHCP, ER, or public health agent as a user of iTrust Medical Records system, initially only the name and email are provided.",1
111,The patient chooses to view his or her access log or that for a person for whom they are a personal health representative.,1
112,"The lab technician can specialize in blood work, tissue work, or general.",1
113,"A user (a patient, patient representative, or LHCP) wishes to read a message from the message inbox or outbox.",1
114,The LHCP clicks this number to view the weight or pedometer monitoring details of his or her patients for the current date.,1
115,"The user selects a laboratory procedure from the calendar to read its details by clicking the Read Details link beside or below the LOINC code displayed for the laboratory procedure, and then the details for the laboratory procedure shall be displayed in a new page, including laboratory procedure code, status, commentary, results, and office visit date when the laboratory procedure was ordered.",1
116,"A patient either chooses to input his or her physiologic measurements (blood pressure possibly and possibly glucose levels) , or to input his or her weight, height, possibly and possibly pedometer readings .",1
117,"After entering all required information, the HCP selects the Add button .",1
118,An LHCP  views his or her iTrust homepage.,1
119,A Lab Technician can update the status of a lab procedure as received .,1
120,"The patient clicks on the name of the LHCP for an expired prescription, and is presented with the contact information for that LHCP (including First Name Last Name, LHCP Type, Street Address 1, Street Address 2, City, State, Zip Code, Phone, and Contact Email); if any type of contact information is missing or the whole contact information for the LHCP is not available in the database, the corresponding missing types of information are simply shown as blank.",1
121,The sending HCP may edit the priority of the referral possibly and possibly the referral notes.,1
122,The administrator will maintain  a listing of allowable physical services (including laboratory procedures) that an HCP can use.,1
123,The user clicks this number to view his or her message inbox.,1
124,"A patient is only given the choice to restrict viewing on selected diagnostic information, such as those related to mental illness, substance abuse, and cosmetic surgery.",1
125,A sending HCP edits a previously created patient referral as long as the referral has not been viewed by the receiving HCP.,1
126,The HCP is presented with a listing of patients for whom they are a DLHCP who need care because of satisfying the one of preceding conditions.,1
127,The iTrust user (HCP) or administrator has been authenticated in the iTrust Medical Records system (UC3).,1
128,The LHCP clicks an appointment to view more details.,1
129,An LHCP or patient can click the View Appointment Calendar link to view his or her appointments in the current month displayed on a calendar for the current month .,1
130,The administrator will maintain  a listing of allowable immunizations that an HCP can use.,1
131,The HCP uploads a comma-seperated value file containing one patient per row.,1
132,"A user (a patient or personal health representative) can choose to view a list of his or her upcoming appointments for himself or herself, as well as appointments for the patients he or she represents (i.e., a list including appointments whose appointment date and start time is equal or later than the current date or time, sorted by time with soonest upcoming first).",1
133,A fake email is sent to the LHCP alerting the user that a new message has arrived.,1
134,"On the patient homepage, the Patient views a notification center.",1
135,The user may try three times.,1
136,HIPAA rules protect patients' information and also allow a patient to dictate who can access this information.,1
137,The iTrust user (LCHP) has been authenticated in the iTrust Medical Records system (UC3).,1
138,The public health agent can select to see the detail of a specific report.,1
139,The HCP is notified that the required fields contain too many characters.,1
140,An HCP can remove a previously created lab procedure for a given office visit.,1
141,"The HCP has authenticated himself or herself in the iTrust Medical Records system (UC2),(UC3).",1
142,A public health agent (PHA) selects a specific time period for which he or she would like to see a detailed listing of all adverse events related to prescription drugs  or immunizations  or to see trends in adverse events relate to prescription drugs  or immunizations .,1
143,A patient or personal health representative chooses to view medical records  including family history .,1
144,"The patient looks for an hospital with experience in physical services, as specified by LOINC codes of the office visits (UC15) and is given a list of the 5 most experienced Hospitals in that particular field.",1
145,An LHCP can schedule an appointment with a patient .,1
146,The user (patient) has authenticated himself or herself in the iTrust Medical Records system (UC3).,1
147,The administrator selects a file containing LOINC information and chooses to upload it.,1
148,A receiving HCP views a list of received referrals .,1
149,The user can choose to examine recent trends in diagnoses.,1
150,"The user selects a message from the list to read by clicking the 'Read' link beside the row for the message, and then the message subject, the name of the sender, the name of the the recipient, timestamp, and the message text shall be displayed in a new page.",1
151,The HCP can choose to remove the lab procedure as long as the status is either in transit or received.,1
152,A Lab Technician can view his or her priority queue of lab procedures .,1
153,A sending HCP refers the patient to another receiving HCP .,1
154,The system directs the user to make a different choice.,1
155,"Similar to an administrator, a software tester is added by directly entering the software tester into the database by an administrator that has access to the database.",1
156,"Upon reading the report, the public health agent can choose to send a fake email message to the adverse event reporter to gain more information about the report.",1
157,"A patient can click View Full Calendar link to view his or her appointments in the current month together with his or her office visit dates, prescription dates, and lab procedure dates in the current month displayed on a calendar for the current month .",1
158,The user inputs the MID of a patient who is deceased and is prompted to try again.,1
159,The HCP can edit the patient according to data format 6.4  with all initial values (except patient MID) defaulting to null possibly and possibly 0 as appropriate.,1
160,"An LHCP can see the blood pressure and glucose levels , or weight, height, and pedometer readings  for the patients he or she is monitoring, with two separate lists for physiologic and height or weight or pedometer readings .",1
161,A Lab Technician can record the results of a lab procedure .,1
162,The HCP types a invalid zip code (zip codes are five digits) and is prompted to try again.,1
163,The HCP can choose to add or remove another registered user as a personal health representative to that patient.,1
164,An HCP can create a lab procedure for a given office visit .,1
165,A patient has just been diagnosed with a condition and wants to find the LHCPs in the area who have handled that condition.,1
166,The LHCP chooses to schedule an appointment with a patient (it is assumed that the LHCP and patient have already worked out the details of the appointment in person or via telephone outside of the system).,1
167,"An HCP chooses Office Visit Reminders and then to identify chronic patients who need an office visit , older patients who need a flu shot , or any patient who is overdue for an immunization .",1
168,"The patient chooses a specific referral from the list to view complete details about the referral: sending HCP name and specialty, receiving HCP name and specialty, time generated, priority, office visit date, and notes.",1
169,An LHCP wants to send a message to a patient possibly and possibly that patient's personal representative  or a patient or personal representative wants to send a message to one of their DLHCP or that of a person they are representing .,1
170,The patients can choose to toggle between designating or undesignating any LHCP as being a DLHCP for themselves.,1
171,The user can select an appointment from the calendar to read the appointment's details .,1
172,The patient or representative views his or her message inbox.,1
173,The patient chooses to view all LHCPs the patient has ever had an office visit with and those whom he or she had designated .,1
174,"The LHCP can view of the comprehensive patient report for the specified group, including the information below.",1
175,The user inputs invalid information and is prompted to try again.,1
176,A sending HCP cancels a previously sent patient referral .,1
177,The form validation of the system shall show the errors of all the fields in a form at the same time.,1
178,The administrator will store (1) the National Drug Code (The National Drug Code (NDC) is a universal product identifier used in the United States for drugs intended for human use).,1
179,"The iTrust user (Lab Technician, patient, or HCP) has been authenticated in the iTrust Medical Records system (UC3).",1
180,The administrator types an invalid code information and is prompted to try again.,1
181,"A patient or personal health representative can answer any of the following questions relative to a previous (in UC9, S1) office visit according to Data Format 6.13.",1
182,The HCP has authenticated himself or herself in the iTrust Medical Records system(UC3).,1
183,"The receiving HCP then selects a referral to view details and is presented with the name and specialty of the sending HCP, the patient's name, the referral notes, the referral priority, the office visit date with a link to the office visit, and the time the referral was created.",1
184,"Once entered, the enterer or editor is presented a screen of the input to approve .",1
185,The HCP may also add a patient referral (UC33).,1
186,The LHCP types an invalid MID and is prompted to try again.,1
187,"By default, the messages in the list should be ordered by timestamp, the most recent first.",1
188,"The user selects a message from the message inbox or outbox to read by clicking the Read link beside the row for the message, and then the message subject, the name of the sender, the name of the the recipient, timestamp, and the message text shall be displayed in a new page.",1
189,"For the diagnostic information which a patient can restrict viewing, he or she can choose to enable designated licensed health care professionals, possibly and possibly other licensed health care professionals, possibly and possibly no one.",1
190,"A patient may have at most one height data point, one weight data point, and one pedometer data point in any one day, reported by him or herself, a UAP, or a personal representative .",1
191,The LHCP is able to view the comprehensive group report .,1
192,A patient views the details of his or her referrals .,1
193,"A sending HCP cancels a previously sent patient referral by visiting the office visit page, viewing the details of a previously sent patient referral , and choosing cancel.",1
194,An HCP can remove a previously created lab procedure .,1
195,The two drugs and a textual description of the possible effects of the interaction are stored.,1
196,A patient chooses to view their patient specific instructions by selecting a link named Patient Specific Instructions under the View heading in the left hand menu .,1
197,"The user has successfully changed his or her password (UC3, S2).",1
198,The LHCP does not confirm the selection and is prompted to try again.,1
199,The HCP selects one or more reasons out the nine reasons listed here for the overriding.,1
200,The health care professional does not confirm the selection and is prompted to try again.,1
201,An LHCP chooses to view the height or weight or pedometer data monitoring details.,1
202,An HCP chooses to enter or edit personal health information.,1
203,"For each patient from the monitoring list, the LHCP can choose to edit which types of remote monitoring information (blood pressure, glucose levels, height, weight, and pedometer readings) should be submitted by the patient.",1
204,Administrator: The administrator assigns medical identification numbers and passwords to LHCPs.,1
205,The iTrust user (patient) has authenticated himself or herself in the iTrust Medical Records system (UC3).,1
206,A sending HCP views a list of previously sent patient referrals .,1
207,Only the applicable input entries (those whose corresponding data types of the patient are specified to be under monitoring) are displayed to the patient.,1
208,An LHCP wishes to reply to a message.,1
209,The user can select a laboratory procedure from the calendar to read the laboratory procedure's details .,1
210,The administrator chooses to maintain the overriding reasons that an HCP can select from .,1
211,The HCP is prompted to confirm that he or she wishes to remove the lab procedure.,1
212,"The LHCP's name, specialty, and address are provided.",1
213,"The input data, a timestamp, and the fact that the status was reported by case manager and his or her MID are saved.",1
214,"The patient's assigned MID and a secret key (the initial password) are personally provided to the user, with which the user can reset his or her password.",1
215,"The patient, UAP, or personal representative enters a glucose level outside the range 0-250.",1
216,The system shall append 20 more activities to the end of the currently listed activities on the same page.,1
217,An LHCP or UAP can add and delete patients from his or her monitoring list.,1
218,"The patient chooses 'My Diagnoses and is presented with a listing of all their own diagnoses, sorted by diagnosis date (more recent first).",1
219,"The patient, UAP, or personal representative enters a systolic blood pressure outside the range 40-240 or a diastolic blood pressure outside the range 40-150.",1
220,The user chooses to open his or her message inbox or outbox.,1
221,The HCP selects a patient to deactivate.,1
222,The LHCP is able to view the comprehensive patient report  from a list of his or her requests.,1
223,"The HCP selects a different Lab Technician from the list of available Lab Technicians (displayed with Lab Technician specialty and the number of pending lab procedures in his or her priority queue, grouped by priority).",1
224,The patient or personal health representative clicks an appointment to view more details.,1
225,"A user (a patient, patient representative, or LHCP) views the number of unread messages from his or her message inbox.",1
226,An HCP may upload a photo of the patient as part of the patient's demographic records.,1
227,LHCPs and patients or representatives may reply to messages .,1
228,"Then, this person's electronic records are accessible via the iTrust Medical Records system.",1
229,The HCP types an invalid date and is prompted to try again.,1
230,The patient can choose to click this link.,1
231,"A secret key is personally provided to the user, with which the user can reset his or her password.",1
232,The patient and receiving HCP receive a message (UC30) indicating that the referral was canceled.,1
233,"The LHCP can view of the comprehensive patient report for the specified patient, including the information below.",1
234,"A user (a patient or personal health representative) views basic information about his or her designated LHCPs, including the name, phone number, and contact email information .",1
235,The LHCP chooses to view all patients with which he or she has ever had an office visit with.,1
236,The LHCP is unable to edit or remove any past appointments.,2
237,The LHCP types an invalid medical identification number and is prompted to try again.,1
238,"After a message is sent, the patient or personal representative is directed to his or her message outbox.",1
239,The user is asked to try again.,1
240,"The HCP provides the dosage in milligrams, the start and end date for the prescription, and any special instructions.",1
241,The patient selects an LHCP from his or her provider list.,1
242,The HCP has selected a medication prescribed from a pull down list.,1
243,A patient or personal health representative  views his or her iTrust homepage.,1
244,The health care personnel does not confirm the selection and is prompted to try again.,1
245,The LHCP enters and confirms the patient or representative's MID .,1
246,"While documenting an office visit, the HCP selects to prescribe a patient a drug by selecting its NDC and name .",1
247,The HCP has authenticated himself or herself in the iTrust Medical Records system (UC3).,1
248,A LHCP enters an UAP as a user of iTrust Medical Records system according to data format 6.2 (all fields mandatory) .,1
249,The LHCP is presented with an option to approve or reject each pending appointment request.,1
250,"The LHCP views a list of requests he or she has made for reports, with the status and pertinent information about the requests.",1
251,The iTrust user (admin) has been authenticated in the iTrust Medical Records system (UC3).,1
252,"The admin must specify a specialty for a new LHCP (general physician, heart surgeon, OB-GYN, pediatrician, surgeon) and for a new LT ( blood, tissue, or general).",1
253,A patient or patient representative wishes to reply to a message.,1
254,The user can select a prescription from the calendar to read the prescription's details .,1
255,An LHCP chooses to send a message to a patient or representative (no multiple recipients allowed in a single message).,1
256,A patient can request to schedule an appointment with an LHCP .,1
257,"The patient types a last name or partial last name, possibly and possibly providing the specialty.",1
258,A UAP can select to report height or weight or pedometer measurements.,1
259,The HCP selects a different procedure code.,1
260,"A UAP  or patient representative  can input the blood pressure, glucose levels, height, weight, or pedometer readings for a patient.",1
261,A patient or personal health representative may enter or edit their own demographic information including their security question or answer according to data format 6.1.,1
262,"When a person logs into iTrust, if he or she is a personal representative, they view their own records or those of the person or people they are representing.",1
263,An HCP chooses to document  or edit  an office visit.,1
264,The administrator records  or deletes  a drug interaction between two prescription drugs.,1
265,"The patient, UAP, or personal representative tries to enter more than one weight data point or more than one pedometer data point for the day and is told additional data cannot be entered.",1
266,The HCP does not have the ability to enter or edit or view the patient's security question or password.,2
267,"The notification center also displays a list of the patient and patient representee upcoming appointments , the information of his or her designated HCP , and the number of unread messages from his or her message inbox , number of new referrals (UC33), and number of unviewed completed lab procedures (UC26).",1
268,An administrator can manage a standardized list of appointment types .,1
269,"The patient selects the relevant physical services he is interested in, and is then presented with the top five hospitals with that experience.",1
270,The patient then chooses the beginning and end date for the period of time they would like to view their access log for .,1
271,"The user selects an office visit from the calendar to read its details by clicking the Read Details link beside or below the ICD-9CM code (i.e., diagnose) displayed for the visit, and then the details for the visit shall be displayed in a new page, including date of office visit, note text, diagnoses (i.e., ICD-9CM codes), medical procedures performed (i.e., CPT code) , lab procedures ordered (LOINC code, see Data Format 6.11), medications prescribed (i.e., NDC, see Data Format 6.6), immunizations given (i.e., CPT Code, see UC15, S1), and the name of the doctor who prescribed the medication.",1
272,"On the LHCP homepage, the LHCP views a notification center with a list of his or her upcoming appointments for the current date , number of physiologic data monitoring reports of his or her patients for the current date , number of weight or pedometer data monitoring reports of his or her patients for the current date , number of unread messages from his or her message inbox , number of new referrals (UC33), number of pending lab procedures (UC26), and number of pending appointment requests (UC22).",1
273,The LHCP can select a patient to obtain additional information about a patient .,1
274,A patient views a list of his or her referrals.,1
275,The administrator will maintain  a listing of allowable drugs that an HCP can use.,1
276,The system shall display a default placeholder image for patients who do not have a photograph on file.,1
277,A sending HCP edits a previously sent patient referral .,1
278,A patient or personal health representative  or LHCP  chooses to view prescription reports.,1
279,A fake email is sent to the patient or representative alerting the patient or representative that a new message reply has arrived.,1
280,"The patient chooses My Expired Prescription Reports and is presented with a list of the patient's expired prescriptions , sorted by start date (the later date is ranked earlier closer to the top).",1
281,"In both cases, the LHCP is presented the name of the patient and must confirm the add or delete.",1
282,The HCP is notified if any of the fields contain characters that are not in the above list.,1
283,A patient selects to reports an event related to a prescription drug  or immunization  reaction.,1
284,The HCP enters a comment for a lab procedure with status as pending.,1
285,A patient whose at least one physiologic data type is specified to be under monitoring chooses to report their physiologic data.,1
286,An HCP chooses to view received referrals.,1
287,The drug desired to be prescribed is checked for interactions between other drugs currently taken by the patient.,1
288,A UAP can select to report physiologic measurements.,1
289,The patient chooses the immunization for which to report the adverse event.,1
290,Only the name and email are provided.,1
291,The iTrust user (LHCP or patient) has been authenticated in the iTrust Medical Records system (UC3).,1
292,"The data in the database is analyzed according to the influenza epidemic heuristic to determine if an epidemic is occurring in the region defined by the zip code that match the first three numbers in the provided zip code (e.g. if zip code 27695 is provided, all data with zip code 276xx is analyzed, where each x is any digit from 0-9).",1
293,"The sending HCP then chooses a priority from 1-3 (1 is most important, 3 is least important) for the referral.",1
294,The iTrust user has authenticated himself or herself in the iTrust Medical Records system(UC3).,1
295,"The administrator will store (1) the ICD-9CM code (The International Statistical Classification of Diseases and Related Health Problems (most commonly known by the abbreviation ICD) provides codes to classify diseases and a wide variety of signs, symptoms, abnormal findings, complaints, social circumstances and external causes of injury or disease.",1
296,The user (patient or personal health representative) can choose to view a list of their own prescriptions or  the prescriptions for whom the user is a person health representative by choosing one patient from a a list of these patients.,1
297,The HCP does not confirm the selection and is prompted to try again.,1
298,The administrator selects one drug and is presented with a listing of all drug interactions with that drug.,1
299,"The input data, a timestamp, and the fact that the status is self-reported are saved.",1
300,"When the LHCP approves or rejects an appointment request, a message is sent to the Patient indicating the requests's status.",1
301,The user (LHCP) selects a patient from the list of requested reports.,1
302,The HCP is notified of drug allergy.,1
303,"A fake email is sent to the LHCP who prescribed the medication indicating the patient name and MID, drug, and symptoms.",1
304,The administrator types an invalid name and is prompted to try again.,1
305,A fake email is sent to the LHCP alerting the LHCP that a new message reply has arrived.,1
306,The Patient requests the closest hospitals so that only nearby hospitals are presented.,1
307,An LHCP or patient or representative can sort his or her message inbox and message outbox .,1
308,"The LHCP chooses to view a report of all patients of a single or either gender, in a specified age range , with none, one, or more diagnoses.",1
309,"Once the date range is selected, the LHCP can see the patient name; patient phone number; personal representative (name and phone number), if applicable; and the blood pressure, glucose levels, height, weight, and pedometer readings as well as whom reported the data (patient, UAP name, personal representative name) for that date range.",1
310,"After a message is sent, the LHCP is directed to to his or her message outbox.",1
311,The patient has authenticated himself or herself in the iTrust Medical Records system (UC3).,1
312,"The Lab Technician sees a list of all lab procedures assigned to him or her that have a status of received, followed by a list of lab procedures that remain in transit.",1
313,The HCP enters a patient as a new user of iTrust Medical Records system.,1
314,An HCP can create a lab procedure for a given office visit.,1
315,The iTrust user has authenticated himself or herself in the iTrust Medical Records system (UC3).,1
316,The HCP can add the prescription to the list of medications (UC37).,1
317,The LHCP requests a comprehensive patient report for a particular patient .,1
318,The patient chooses one or more drug(s) for which to report the adverse event.,1
319,"The patient may sort the list of referrals by receiving HCP name, time generated, possibly and possibly priority.",1
320,The Lab Technician enters the lab procedure numerical result and confidence interval for the lab procedure with the status of testing.,1
321,The Patient chooses to request an appointment with an LHCP.,1
322,"The health care personnel may enter or edit personal health information including editing historical values from Data Format 6.4.1, 6.4.2, 6.4.3, and 6.4.4, immunizations, and office visit information (date, diagnoses, medication, name of attending physician but not notes, laboratory procedures), family history (the MIDs of the patient's mother and father), Body Mass Index (BMI) , and drug allergies .",1
323,"The user provides a zip code  or a hospital code and an (optional) physician type (from a pull-down list: see data format 6.2 - general, surgeon, heart specialist, pediatrician, OB or GYN).",1
324,"The user selects an appointment from the calendar to read its details by clicking the Read Details link beside or below the appointment type name displayed for the appointment, and then the details for the appointment shall be displayed in a new page, including the appointment type, the appointment date and start time, comment, and the name of either the patient (only for the user being an LHCP) or the LHCP (only for the user being a patient).",1
325,The LHCP is notified if a new or edited appointment time conflicts with another existing appointment .,1
326,LHCPs can edit or delete future appointments .,1
327,The HCP types an invalid diagnosis code and is prompted to try again.,1
328,The HCP is asked to confirm the decision to cancel the referral.,1
329,The administrator types an invalid ID and is prompted to try again.,1
330,"When the HCP selects the Other reason, the HCP shall enter free-style text to provide the details for Other reasons.",1
331,An LHCP selects to view additional information for a patient.,1
332,"By default, the messages in the message inbox or outbox should be ordered by timestamp, the most recent first.",1
333,And HCP chooses to add  or edit  patient specific instructions.,1
